Run,Delivered lumi (/fb)
305252,0.095834371
305282,0.044298363
305310,0.127248258
305311,0.047335563
305312,0.068260628
305313,0.170873738
305314,0.068933365
305336,0.066097103
305338,0.033057374
305341,0.151793671
305349,0.003874135
305350,0.003816139
305351,0.179397622
305358,0.04951889
305364,0.030374294
305365,0.249011028
305366,0.233878482
305376,0.032591502
305377,0.399198775
306029,0.009124799
306030,0.034817163
306036,0.000052804
306037,0.012151272
306038,0.043986947
306041,0.099671681
306042,0.100134274
306048,0.03208006
306049,0.075552897
306051,0.071118973
306091,0.060424032
306092,0.220566156
306095,0.049437659
306121,0.028549505
306122,0.040472336
306125,0.562534243
306126,0.031412515
306134,0.006931771
306135,0.328858937
306138,0.212678948
306139,0.102618813
306153,0.02634284
306154,0.334421406
306155,0.221027971
306169,0.06701552
306170,0.001144388
306171,0.036193995
306418,0.020702565
306419,0.01834583
306420,0.034098677
306422,0.034603436
306423,0.085775173
306432,0.033790252
306454,0.026739019
306455,0.00159597
306456,0.236568106
306457,0.006681597
306458,0.051560805
306459,0.309932037
306460,0.004048497
