OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.02217+-12.965/x+-57.6091/(x*x)+1196.9/((x- -20.0171)*(x- -20.0171)))*(1+(0.0112834)) 
M,incl,central,0,0.0,2.5,20,1000,0,1,0.494798+0.00069795*x+-2.33577e-07*x*x+9.44851/x 
M,incl,down,0,0.0,2.5,20,1000,0,1,(0.494798+0.00069795*x+-2.33577e-07*x*x+9.44851/x)*(1-(0.0980535+-7.62933e-06*x+5.48822e-09*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(0.494798+0.00069795*x+-2.33577e-07*x*x+9.44851/x)*(1-(0.0806985+-6.29088e-06*x+3.63512e-09*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.494798+0.00069795*x+-2.33577e-07*x*x+9.44851/x)*(1-(0.0551195)) 
M,incl,up,0,0.0,2.5,20,1000,0,1,(0.494798+0.00069795*x+-2.33577e-07*x*x+9.44851/x)*(1+(0.0980535+-7.62933e-06*x+5.48822e-09*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(0.494798+0.00069795*x+-2.33577e-07*x*x+9.44851/x)*(1+(0.0806985+-6.29088e-06*x+3.63512e-09*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.494798+0.00069795*x+-2.33577e-07*x*x+9.44851/x)*(1+(0.0551195)) 
T,incl,central,0,0.0,2.5,20,1000,0,1,0.412919+0.000974572*x+-5.40298e-07*x*x+7.53779/x 
T,incl,down,0,0.0,2.5,20,1000,0,1,(0.412919+0.000974572*x+-5.40298e-07*x*x+7.53779/x)*(1-(0.210975+2.4705e-05*x+-2.79805e-08*x*x)) 
T,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(0.412919+0.000974572*x+-5.40298e-07*x*x+7.53779/x)*(1-(0.146047+3.87896e-05*x+-4.61474e-08*x*x)) 
T,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.412919+0.000974572*x+-5.40298e-07*x*x+7.53779/x)*(1-(0.152176)) 
T,incl,up,0,0.0,2.5,20,1000,0,1,(0.412919+0.000974572*x+-5.40298e-07*x*x+7.53779/x)*(1+(0.210975+2.4705e-05*x+-2.79805e-08*x*x)) 
T,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(0.412919+0.000974572*x+-5.40298e-07*x*x+7.53779/x)*(1+(0.146047+3.87896e-05*x+-4.61474e-08*x*x)) 
T,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.412919+0.000974572*x+-5.40298e-07*x*x+7.53779/x)*(1+(0.152176)) 
